city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Bandarbeyla,100,SO,1562896982,56,9.49,50.81,80.37,25.86
New Norfolk,75,AU,1562896983,70,-42.78,147.06,46.4,17.22
Pochutla,90,MX,1562896984,78,15.74,-96.47,82.99,1.5
Mana,100,NG,1562896986,70,13.03,5.27,79.4,19.01
Avarua,2,CK,1562896987,77,-21.21,-159.78,73.64,3.96
Kodiak,1,US,1562896988,31,39.95,-94.76,80.6,4.7
Ponta do Sol,0,BR,1562896989,59,-20.63,-46,54.33,2.8
Natal,20,BR,1562896728,88,-5.81,-35.21,73.4,5.82
Mecca,100,SA,1562896736,24,21.43,39.83,81.29,2.33
Iqaluit,90,CA,1562896994,87,63.75,-68.52,51.8,19.46
Gunjur,40,GM,1562896995,83,13.18,-16.76,78.8,5.82
Luderitz,0,NA,1562896996,84,-26.65,15.16,55.28,12.77
Bubaque,100,GW,1562896998,84,11.28,-15.83,79.67,6.15
Georgiyevka,0,RU,1562896999,90,52.25,40.45,54.96,4.25
Hermanus,100,ZA,1562897001,99,-34.42,19.24,54,13.62
Moindou,0,NC,1562897002,53,-21.69,165.68,77,13.87
The Valley,40,AI,1562896705,74,18.22,-63.06,82.4,11.41
Kolaras,34,IN,1562897005,72,25.22,77.61,82.61,18.41
Lavrentiya,0,RU,1562897007,31,65.58,-170.99,73.16,7.99
Te Anau,100,NZ,1562897009,82,-45.41,167.72,44.75,3.87
Akdepe,0,TM,1562897010,44,42.05,59.39,78.8,6.93
Amos,75,CA,1562897011,88,48.57,-78.12,64.4,10.29
Tasiilaq,6,GL,1562897012,74,65.61,-37.64,31.09,1.48
Kruisfontein,21,ZA,1562897013,85,-34,24.73,53.55,9.64
Katsuura,40,JP,1562897015,69,33.93,134.5,81,18.34
Dikson,100,RU,1562897016,88,73.51,80.55,35.43,13.33
Bembereke,36,BJ,1562897017,90,10.23,2.66,71.41,5.3
Caravelas,94,BR,1562897018,70,-17.73,-39.27,72.63,6.11
Lodja,100,CD,1562897019,91,-3.52,23.6,70.69,2.55
Nishihara,90,JP,1562897020,94,35.74,139.53,73,6.93
Kavaratti,52,IN,1562897022,82,10.57,72.64,82.98,12.28
Tiksi,99,RU,1562897023,69,71.64,128.87,56.11,12.03
Poum,90,MK,1562897024,79,41.28,20.71,49.93,3.2
Saskylakh,67,RU,1562897025,46,71.97,114.09,58.67,15.08
Sorong,43,ID,1562897026,66,-0.86,131.25,82.21,14.36
Kehtna,0,EE,1562897028,93,58.92,24.87,42.8,1.12
Severobaykalsk,61,RU,1562897029,40,55.65,109.32,71.59,7.14
Aklavik,75,CA,1562897030,57,68.22,-135.01,50,12.75
Praia,0,BR,1562897031,81,-20.25,-43.81,57.2,1.5
Thompson,75,CA,1562896750,87,55.74,-97.86,59,3.36
Dzhebariki-Khaya,1,RU,1562897033,28,62.22,135.8,85.93,7.4
Kathu,0,ZA,1562896929,53,-27.7,23.05,37.99,2.93
Saint-Augustin,90,CA,1562897036,93,45.63,-73.98,66.99,8.05
Lebu,75,ET,1562897037,87,8.96,38.73,55.4,4.7
Tapiramuta,23,BR,1562897039,99,-11.85,-40.79,59.73,3.4
Zeya,40,RU,1562897040,34,53.74,127.27,82.91,4.21
Prachin Buri,91,TH,1562897042,62,14.05,101.37,91,2.8
Mangrol,40,IN,1562897044,74,25.33,76.51,84.2,3.36
San Cristobal,100,HN,1562897045,83,14.68,-86.92,69.16,7.38
Jiangyou,100,CN,1562896983,54,31.78,104.73,76.92,2.55
Talnakh,75,RU,1562897047,93,69.49,88.39,50,15.66
Jamestown,100,AU,1562896803,73,-33.21,138.6,52.67,20.58
Tuktoyaktuk,90,CA,1562897050,80,69.44,-133.03,39.2,13.87
Bilma,14,NE,1562897051,36,18.69,12.92,87.07,14.43
Cabo San Lucas,5,MX,1562897016,48,22.89,-109.91,89.6,10.29
Sao Filipe,0,CV,1562897053,87,14.9,-24.5,71.97,17.09
Fort-Shevchenko,19,KZ,1562897054,66,44.51,50.26,79.82,7.2
College,90,US,1562897055,34,64.86,-147.8,84.2,10.29
Ushtobe,0,KZ,1562897057,39,45.25,77.98,74.74,20.42
Bambous Virieux,20,MU,1562897058,82,-20.34,57.76,68,6.93
Oyama,90,JP,1562897059,83,36.31,139.8,73,4.7
Saint-Leu,90,RE,1562897061,60,-21.15,55.28,71.6,4.7
Tautira,75,PF,1562897062,65,-17.73,-149.15,82.4,8.05
Oudtshoorn,100,ZA,1562897064,82,-33.59,22.2,55.4,4.7
Constitucion,75,MX,1562897065,64,23.99,-104.67,68,12.75
Namibe,9,AO,1562897066,85,-15.19,12.15,64.57,12.44
Taixing,100,CN,1562897069,77,32.17,120.02,88,7.65
Russell,1,US,1562897071,45,38.9,-98.86,84.2,11.41
Zhireken,71,RU,1562897072,32,52.82,117.29,86.08,2.53
Yar-Sale,97,RU,1562897073,74,66.83,70.83,62.98,15.79
Muroto,75,JP,1562897076,78,33.37,134.14,78.8,8.05
Zheleznodorozhnyy,75,RU,1562897077,93,55.75,38,53.6,4.47
Kadoshkino,9,RU,1562897078,91,54.03,44.42,55.7,5.21
Bathsheba,40,BB,1562896965,74,13.22,-59.52,82.4,16.11
Altamont,1,CA,1562897080,65,49.4,-98.5,82.4,10.29
Vanimo,97,PG,1562897081,75,-2.67,141.3,80.07,5.66
Zabaykalsk,58,CN,1562897083,27,49.64,117.33,84.95,9.26
Hadejia,99,NG,1562897084,62,12.45,10.04,79.46,13.58
Vila Velha,75,BR,1562897085,78,-3.71,-38.6,86,10.29
Bethel,90,US,1562897035,68,60.79,-161.76,71.6,12.75
Qasigiannguit,0,GL,1562897088,81,68.82,-51.19,46.4,1.86
San Patricio,0,PY,1562897090,72,-26.98,-56.83,67.41,9.13
Dolores,99,UY,1562897093,97,-33.53,-58.22,60.18,4.12
Whyalla,90,AU,1562897094,59,-33.04,137.58,60.8,21.92
Wanaka,100,NZ,1562897095,86,-44.7,169.14,48,1.99
Cururupu,3,BR,1562897096,99,-1.82,-44.87,71.08,1.45
Tuatapere,100,NZ,1562897099,82,-46.13,167.69,46.99,3
Souillac,0,FR,1562897100,82,45.6,-0.6,66.2,4.7
Alofi,75,NU,1562897102,74,-19.06,-169.92,80.6,12.75
Celestun,100,MX,1562897103,79,20.87,-90.4,82.52,11.72
Amapa,75,HN,1562897105,74,15.09,-87.97,84.2,19.46
Panaba,100,MX,1562897106,85,21.28,-88.27,73.77,6.04
Takoradi,99,GH,1562897107,93,4.89,-1.75,72.47,4.52
Hofn,84,IS,1562897108,87,64.25,-15.21,41.49,4.79
Amalfi,100,CO,1562897110,97,6.91,-75.07,56.43,3.02
Pangnirtung,100,CA,1562897112,46,66.15,-65.72,57.87,5.59
Nantucket,20,US,1562896866,94,41.28,-70.1,72,6.93
Gernsbach,80,DE,1562897116,100,48.76,8.34,61,2.24
Liverpool,90,GB,1562896959,93,53.41,-2.98,61,2.24
Noumea,0,NC,1562897119,53,-22.28,166.46,77,13.87
Provideniya,40,RU,1562897121,87,64.42,-173.23,51.8,11.18
Ozernovskiy,100,RU,1562897122,97,51.5,156.52,44.84,9.04
Mabaruma,92,GY,1562897123,99,8.2,-59.78,72.78,0.87
Dali,100,CN,1562897124,54,34.79,109.94,77.85,5.64
Sai Buri,0,TH,1562897125,83,6.7,101.62,77,6.93
East London,29,ZA,1562897127,87,-33.02,27.91,53.36,11.54
Mujiayingzi,29,CN,1562897128,42,42.12,118.78,76.52,8.39
Hamilton,20,CA,1562896961,73,43.26,-79.87,73.4,5.82
Kargil,56,PK,1562897130,39,34.56,76.13,55.95,1.59
Jaru,50,BR,1562897132,66,-10.43,-62.48,75.8,1.97
Narsaq,20,GL,1562897133,70,60.91,-46.05,48.2,2.24
Zhizdra,99,RU,1562897136,83,53.75,34.74,49.85,2.13
Port Elizabeth,75,US,1562897137,100,39.31,-74.98,75,9.35
La Libertad,0,PE,1562897138,25,-16.38,-71.56,51.8,6.93
Alice Springs,0,AU,1562897134,24,-23.7,133.88,66.2,3.36
Nesterov,42,RU,1562897142,98,54.63,22.57,47.58,3.94
Lorca,0,ES,1562896951,57,37.67,-1.7,75,1.01
Ipixuna,40,BR,1562897144,88,-1.76,-48.8,77,3.36
Bambanglipuro,51,ID,1562897145,81,-7.95,110.28,76.09,12.91
San Quintin,0,PH,1562897146,66,17.54,120.52,87.12,4.9
Kommunar,20,RU,1562897148,81,59.62,30.39,50,4.47
Ribeira Grande,0,PT,1562897149,78,38.52,-28.7,70.91,4.92
Bonaventure,1,CA,1562897150,63,48.04,-65.49,66.2,5.82
Hoopstad,0,ZA,1562897151,51,-27.83,25.91,43.98,3.44
Qaqortoq,20,GL,1562897152,70,60.72,-46.03,48.2,2.24
Port Moresby,20,PG,1562897154,54,-9.47,147.16,82.4,17.22
Taitung,20,TW,1562896863,74,22.76,121.15,87.8,3.36
Manono,30,CD,1562897156,41,-7.3,27.4,63.94,1.3
Boli,78,CN,1562897157,63,45.76,130.56,76.85,3.4
Mwene-Ditu,100,CD,1562897158,39,-7.01,23.45,64.89,3.89
Padang,0,ID,1562897159,74,-0.92,100.36,82.08,3.94
Buala,100,SB,1562897161,77,-8.15,159.59,82.53,13.71
Cheremshan,100,RU,1562897162,96,54.66,51.51,56.79,5.5
Oshakati,0,NA,1562897163,30,-17.78,15.7,53.6,2.24
Bilibino,66,RU,1562897164,30,68.06,166.44,77.89,8.57
Burgthann,90,DE,1562897165,100,49.36,11.32,57.99,3.36
Faya,40,SA,1562897167,52,18.39,42.45,71.6,3.85
Cayenne,5,GF,1562897059,94,4.94,-52.33,75.2,3.8
Pila,20,PH,1562897169,66,14.24,121.36,87.8,2.24
Husavik,20,CA,1562897170,60,50.56,-96.99,80.01,5.99
Jurm,0,AF,1562897171,24,36.86,70.83,74.07,1.28
Sagarejo,40,GE,1562897172,73,41.73,45.33,69.8,3.36
Norman Wells,75,CA,1562896955,54,65.28,-126.83,57.2,14.99
Rocha,100,UY,1562896947,93,-34.48,-54.34,54.99,6.96
Nelson Bay,0,AU,1562897176,42,-32.72,152.14,66.99,23.04
Cherskiy,98,RU,1562897177,30,68.75,161.3,83.52,3.11
Mercedes,99,UY,1562897178,97,-33.25,-58.03,60.18,4.12
Batsfjord,0,NO,1562897179,79,70.63,29.72,44.14,5.61
Henties Bay,0,NA,1562897181,96,-22.12,14.28,52,4
Lorengau,78,PG,1562897182,74,-2.02,147.27,81.76,15.1
Havoysund,3,NO,1562897183,66,71,24.66,50,3.36
Soma,75,JP,1562897184,88,37.8,140.92,66.99,5.82
Baykit,25,RU,1562897186,35,61.68,96.39,65.4,9.37
Bosaso,100,SO,1562897188,58,11.28,49.18,89.61,12.39
Prescott,1,US,1562897128,20,34.54,-112.47,91,18.34
Nchelenge,14,ZM,1562897190,59,-9.35,28.74,57.69,9.46
Abu Dhabi,0,AE,1562897191,42,24.47,54.37,87.8,9.17
Kabanjahe,25,ID,1562897194,68,3.1,98.49,83.6,0.81
Samarai,100,PG,1562897196,72,-10.62,150.67,75.41,10.96
Polunochnoye,0,RU,1562897197,71,60.87,60.43,60.66,4.29
San Antonio,90,CL,1562896952,100,-33.58,-71.61,50,1.12
Vila,0,IT,1562897199,82,45.18,8.4,72,2.24
Hanford,1,US,1562896921,23,36.33,-119.65,97,13.87
Kailua,1,US,1562897201,78,21.39,-157.74,87.8,11.41
Tondano,20,ID,1562897203,58,1.3,124.91,87.8,12.75
Oranjestad,20,AW,1562897166,74,12.52,-70.03,82.4,17.22
Vestmannaeyjar,100,IS,1562897205,90,63.44,-20.27,52.58,8.63
Dingle,73,PH,1562897208,72,11,122.67,84.08,5.86
Haines Junction,54,CA,1562897209,52,60.75,-137.51,61.42,10.74
Atar,5,MR,1562897211,28,20.52,-13.05,84.03,1.36
Marsh Harbour,100,BS,1562897121,76,26.54,-77.06,84.24,10.54
Sao Paulo de Olivenca,2,BR,1562897213,97,-3.38,-68.87,70.94,1.1
Caucaia,75,BR,1562897214,78,-3.73,-38.66,86,10.29
Axim,99,GH,1562897215,89,4.87,-2.24,75.03,9.82
Sitka,59,US,1562897216,62,37.17,-99.65,78.01,9.31
Harper,1,US,1562897218,51,30.3,-99.24,88,3.36
Baghdad,0,IQ,1562897219,33,33.3,44.38,86,9.17
Kloulklubed,90,PW,1562897220,83,7.04,134.26,82.4,10.29
Port-Cartier,90,CA,1562897221,76,50.03,-66.88,55.99,3.36
Lompoc,90,US,1562897187,82,34.64,-120.46,72,12.75
Muzhi,21,RU,1562897224,71,65.4,64.7,60.32,9.64
Pijijiapan,72,MX,1562897225,69,15.69,-93.21,85.58,7.58
Egvekinot,9,RU,1562897227,26,66.32,-179.17,78.86,10.65
Sola,81,TZ,1562897228,69,-3.17,33.8,62.28,6.62
Ola,0,RU,1562897229,71,59.58,151.3,59.08,10.56
Breyten,0,ZA,1562897231,29,-26.3,29.99,42.54,2.17
Colonia,40,RO,1562897232,87,46.6,23.97,52,9.17
Erenhot,93,CN,1562897233,30,43.65,111.97,79.46,5.08
Dunedin,100,NZ,1562896991,78,-45.87,170.5,50,18.01
Macae,0,BR,1562897235,87,-22.37,-41.79,59,3.36
Prince Rupert,90,CA,1562897236,77,54.32,-130.32,64.4,6.93
Rawson,0,AR,1562897238,50,-43.3,-65.11,44.73,6.38
Airai,6,TL,1562897239,41,-8.93,125.41,84.46,1.16
Daru,37,PG,1562897240,61,-9.07,143.21,80.14,11.7
Eenhana,8,NA,1562897241,30,-17.48,16.34,53.6,2.24
Helong,97,CN,1562897242,74,25.94,116.13,84.57,12.55
Vila Franca do Campo,20,PT,1562897243,82,37.72,-25.43,68,5.82
Powell,75,US,1562897245,57,40.16,-83.08,81,3.36
Buraydah,0,SA,1562897246,30,26.33,43.97,80.6,4.7
Santa Maria,0,BR,1562896995,63,-16.02,-48.01,62.6,2.24
Roverud,0,NO,1562897248,76,60.25,12.05,57.99,5.82
Talcahuano,40,CL,1562897249,93,-36.72,-73.12,50,4.7
Hervey Bay,0,AU,1562897250,25,-25.3,152.85,81,5.82
